,stock_id,start_date,end_date
51,000592,2014-10-20,2015-09-21
52,000593,2013-07-15,2013-11-25
53,000597,2013-04-16,2014-04-28
54,000599,2014-03-03,2014-09-09
55,000600,2015-05-11,2015-11-19
56,000601,2012-06-18,2012-12-17
57,000606,2012-02-07,2012-10-18
58,000610,2013-11-21,2014-11-18
59,000627,2015-01-16,2015-10-30
60,000628,2014-05-29,2015-03-03
61,000630,2012-11-08,2014-03-12
62,000631,2014-03-26,2015-11-05
63,000636,2014-04-24,2014-10-16
64,000656,2013-08-13,2014-09-01
65,000669,2013-01-11,2014-11-24
66,000671,2013-09-16,2014-06-19
67,000671,2015-04-24,2015-10-22
68,000673,2014-04-16,2015-02-16
69,000678,2014-12-31,2015-12-17
70,000680,2012-12-18,2013-06-24
71,000681,2013-08-19,2015-05-14
72,000685,2014-06-17,2015-09-11
73,000686,2012-02-07,2012-07-03
74,000697,2013-08-19,2014-01-14
75,000700,2014-05-27,2014-11-25
76,000701,2013-09-12,2014-01-27
77,000701,2015-06-09,2015-12-17
78,000703,2012-02-20,2012-03-26
79,000703,2012-07-23,2015-08-13
80,000716,2012-05-08,2012-12-24
81,000716,2014-03-25,2014-09-01
82,000717,2012-12-18,2013-05-22
83,000718,2015-04-22,2015-10-19
84,000721,2012-06-21,2013-03-21
85,000725,2013-07-25,2013-12-02
86,000727,2014-01-22,2014-10-16
87,000728,2015-04-03,2015-06-18
88,000732,2015-01-19,2015-07-09
89,000733,2013-02-08,2014-01-07
90,000735,2014-09-17,2015-09-28
91,000738,2013-03-06,2013-07-08
92,000739,2012-02-13,2014-07-14
93,000750,2012-01-20,2015-06-01
94,000753,2014-01-27,2014-08-15
95,000757,2013-03-29,2013-11-21
96,000760,2012-11-05,2013-09-30
97,000762,2014-07-28,2015-08-20
98,000766,2013-09-27,2014-11-03
99,000768,2014-10-17,2015-06-01
100,000782,2013-10-08,2014-03-11
101,000783,2015-05-14,2015-12-28
102,000786,2014-03-17,2014-08-08
103,000791,2014-09-10,2015-08-07
104,000792,2014-11-07,2015-10-14
105,000795,2012-12-28,2014-01-24
106,000801,2014-05-30,2015-02-09
107,000807,2014-09-26,2015-03-31
108,000815,2013-06-20,2015-11-12
109,000816,2013-03-12,2013-08-08
110,000823,2013-05-09,2013-11-21
111,000838,2013-08-26,2015-06-29
112,000860,2013-09-25,2014-03-24
